 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,282, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,1658, , ,0,0,0,0,0,0,0,0, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,26, ,0,0,0,0,0,0,0,86, , , ,0,0,0,0,0,0,0,0,0, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,0, ,16274,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,94,0,0, , ,0,0,0,0,0,1,0,0, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,6, ,0,0,0,0,14,2,2,724, ,0,0,0,0,10,4,19,0,0, ,0,0,0,1,15,3,0,0, , , ,0,0,0,0,7,0,0,0,0, , , 
 , , , , , , , , , , , , , , , , , , ,0, ,0, ,24, ,57,0,0,0,43,218,28,18,87,0,0,82,50,253,42,1175,0,0,0,0,17,288,80,25,0,0, , ,0,2,26,334,862,4,0,0,0, , ,0,0,17,256,25,0,0,0, , , , 
 , , , , , , , , , , , , ,0, ,53, ,786, ,0,0,106,2120,2658,167,96,0,46,6016,1308,2609,823,14164,0,419,133,4768,5398,905,159,2,0, ,29,1435,7448,3273,5541,8,0,0,0, ,45,1050,11001,2547,136,3,0,0, , , ,29,439,23560,1110,6,0,0,0,0, , , 
 , , , , , , , ,41, ,1216, ,18900,66,18823,41917,64598,30364,852,629,62763,155042,23098,23023,6301,29958,24719,177731,110189,73076,5463,1885,16,0,15609,242615,110119,24317,20986,40,0,0,0,16861,362837,109519,11701,616,3,0,0, , ,18442,443235,95283,3531,80,0,0,0,0, , ,13017,514166,45469,729,0,0,0,0, , , , 
 , , , , , , , ,1228289,286771,772657,2426362,308496,5614763,2506781,4139627,395602,173893,72097,2558240,3340724,1103929,705823,21217,5803,7290,5373508,2580851,1122764,130769,170170,488,3046,3540,7056479,2708699,567924,53569,2063,5924,0,0, ,12558232,2017142,337616,36224,1634,522,764,0,0, ,15356793,2054009,87455,8210,4232,0,0,0, , , ,19623436,822474,63217,210,488,612,0,0,0, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10208, , , , , , , , , , , , ,0, ,0, ,0, ,4028, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,24, , , ,0,0,0,0,0,0,186, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,0, ,7689, , ,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,276,0,0, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,2, ,204, ,0,0,0,0,0,1,323, , , ,0,0,0,0,0,18,1,0, , , ,0,0,0,0,9,0,0, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0, ,65, ,126320,0,0,0,21,5,42,30, , ,0,0,0,3,48,571,2,0, , ,0,0,2,7,68,6,0, , , , ,0,0,0,831,15,0,0,0, , , , 
 , , , , , , , , , , , , , , , , , , , ,0, ,47, ,619, ,0,0,3,723,214,390,5536, ,0,28,7,926,770,3331,1,0, ,0,11,221,917,610,42,0, , , ,0,9,159,4623,140,2,0,0, , , ,0,1,115,537,14,0,0, , , , , 
 , , , , , , , , , , , , , ,1, ,2457, ,4249,0,16,2509,8534,3483,2030,970,1,3876,4123,14960,9158,41289,72,3,16,2944,18599,9795,4072,211,0, , ,424,2573,26928,25077,548,9,0,0, , ,308,2595,29435,3716,130,0,0, , , , ,67,13075,19077,698,2,0,0,0, , , , 
 , , , , , , , , ,1461, ,65028, ,257,60881,170032,121377,37610,7878,2452,274717,180285,163384,63249,36708,340,11934,388939,333760,64431,26693,7371,0, ,35799,540263,247449,100419,2519,71,0,0, ,46303,824148,212341,14577,492,0,0, , , ,35225,869570,109990,5443,156,0,0,0, , , ,32982,548685,37834,362,0,0,0, , , , , 
